net,length_um
_05439_,158.55
_02797_,158.35
_04989_,158.14
_01255_,158.06
_02593_,157.79
_01542_,157.42
_01224_,157.1
_05391_,157
_04593_,156.96
_01342_,156.22
_02018_,155.56
_03103_,155.54
_01404_,155.46
_05397_,155.11
net201,155.02
net161,154.62
_01625_,153.9
net368,153.78
_05475_,153.76
net164,153.6
net13,153.41
net99,152.14
net105,152.06
net103,151.88
_01229_,150.99
net128,150.96
net275,150.82
net178,150.47
net226,150.185
net222,150.12
net338,150.04
net81,149.96
net160,149.875
_02618_,149.79
_04536_,149.595
net225,149.34
net247,149.21
_01367_,148.88
_05009_,148.59
_01328_,148.28
_05336_,148.2
_01344_,148.13
net152,148.08
_04510_,148.02
net235,147.66
_03476_,147.33
_03599_,147.22
net199,147.2
_04168_,147.1
_02497_,146.995
_02060_,146.57
net6,146.48
_04870_,146.3
_04501_,146.2
_04398_,146.04
_05119_,145.78
u_decodestage.instruction\[9\],145.78
net120,145.48
net395,145.48
_02994_,145.12
net29,144.96
_02302_,144.79
net33,144.66
_04906_,144.61
net124,144.52
_01320_,144.465
_03223_,144.44
net19,144
_02145_,143.875
_00015_,143.64
net138,143.6
net301,143.6
_02641_,143.3
_03174_,143.065
u_decodestage.u_regfile0.register\[9\]\[10\],143.02
_03505_,142.93
net117,142.46
_01381_,142.39
u_decodestage.instruction\[10\],142.33
_04944_,142.31
net58,142.26
_05401_,142.14
net22,142.02
_05403_,141.92
_02741_,141.66
net43,141.64
_01359_,141.46
_02196_,141.18
net114,141.08
_04106_,141.07
_04688_,141.07
net197,140.98
net194,140.46
_05341_,140.4
_03415_,140.26
net20,140.22
net200,140
_04172_,139.78
net177,139.23
net11,138.98
_02059_,138.92
_05083_,138.67
net188,138.63
_05364_,138.54
_04571_,138.06
_05351_,137.96
net234,137.96
_01498_,137.82
u_decodestage.u_regfile0.register\[16\]\[25\],137.465
_02122_,137.24
_01225_,136.8
net175,136.64
_01364_,136.5
_05011_,136.48
net246,136.19
net37,136.18
u_decodestage.u_regfile0.register\[26\]\[9\],136.075
net16,135.9
net327,135.8
_04834_,135.56
_02300_,134.86
_04991_,134.65
net121,134.6
_02969_,134.37
_03544_,134.37
_01932_,134.08
_05047_,134.04
_02955_,134.02
net230,133.58
_01662_,133.43
net326,133.41
_04166_,132.96
_02500_,132.95
_05155_,132.94
_02148_,132.83
_03019_,132.48
_04289_,131.96
net198,131.86
_02843_,130.98
_05357_,130.95
_01997_,130.9
_05395_,130.7
u_decodestage.instruction\[8\],130.5
_05339_,130.38
_01316_,129.9
net315,129.67
_01365_,129.52
_02570_,129.47
_04725_,129.4
_03995_,129.18
_02385_,129.07
_04984_,128.85
_04961_,128.83
net304,128.8
_05345_,128.74
net255,128.68
_03225_,128.58
_01334_,128.36
_03458_,128.28
net18,127.76
_03506_,127.75
_01333_,127.58
_05383_,126.72
_04549_,126.21
_04995_,126.12
_05799_,126.1
_01426_,125.96
_03398_,125.46
_02668_,125.34
net15,125.1
_04009_,124.895
_04204_,124.56
_03317_,124.34
_05547_,124.28
_03401_,124.2
net219,124.14
u_decodestage.u_regfile0.register\[8\]\[30\],123.66
_03488_,123.64
_01315_,123.57
_04976_,123.52
_05263_,123.34
_04953_,123.3
_01803_,123.16
u_decodestage.instruction\[14\],123.16
u_decodestage.pc_address\[2\],122.96
_01318_,122.88
net394,122.86
net107,122.8
_03382_,122.67
net320,122.44
_05370_,122.26
_03360_,122.25
net208,122.06
_03372_,121.96
_02361_,121.9
net154,121.6
_03377_,121.3
_03754_,121.3
_01568_,120.78
_01373_,120.58
_01245_,120.53
_04517_,120.36
u_decodestage.u_regfile0.register\[15\]\[6\],120.26
_02220_,120.2
net113,120.01
net38,119.96
net216,119.88
_03388_,119.515
net66,119.49
_05368_,119.33
_03478_,119.16
_03205_,118.96
net17,118.44
_05353_,117.86
_01317_,117.74
_01429_,117.7
net344,117.64
_02540_,117.45
_05381_,116.76
_03251_,116.74
_03343_,116.73
net10,116.46
_01314_,116.32
_05389_,116.12
_04019_,116.04
_01846_,115.69
net218,115.47
_04025_,115.435
_02574_,115.2
_03233_,115.19
_01239_,115.12
_01221_,115.08
_04285_,114.66
_03188_,114.48
_01372_,114.42
_03645_,114.12
net42,113.93
_04099_,113.76
net47,113.76
net350,113.68
_04253_,113.4
_04431_,112.75
_02124_,112.7
_02266_,112.67
_01599_,112.61
_03508_,112.54
net9,112.32
net379,112.16
net30,111.92
_01406_,111.86
_02150_,111.74
_04070_,111.35
net325,111.22
net122,110.94
_03555_,110.81
_01389_,110.41
net157,110.04
_01237_,109.845
_03583_,109.84
u_decodestage.u_regfile0.register\[23\]\[14\],109.52
_05299_,109.49
net380,109.44
_01696_,109.26
_05399_,109.26
_04427_,108.93
_04997_,108.8
_03418_,108.48
_03175_,108.42
_01952_,108.41
_03727_,108.395
_05387_,108.28
_03451_,108.14
_01261_,108.015
_05005_,107.94
u_decodestage.u_regfile0.register\[20\]\[29\],107.64
_03447_,107.61
u_decodestage.u_regfile0.register\[12\]\[29\],107.505
_02218_,107.41
_04986_,107.28
net127,107.08
net45,107.05
net112,106.94
_01973_,106.76
net53,106.74
_05378_,106.5
u_decodestage.instruction\[12\],106.25
_02594_,106.18
_01362_,106.16
_03181_,106.025
_04683_,105.73
_01450_,105.46
_05335_,105.22
net355,104.92
_03373_,104.66
net322,104.48
net133,104.24
net211,104.2
_01497_,104.14
net1,104.02
net293,103.71
_03413_,103.42
net137,103.42
_04798_,103.375
net329,103.13
_04088_,102.93
_05385_,102.92
_04761_,102.82
_04514_,102.795
_05372_,102.64
_03504_,102.33
_03766_,102.005
u_decodestage.u_regfile0.register\[27\]\[29\],101.87
net24,101.24
net254,101.14
_03380_,101.08
_04523_,100.875
net266,100.55
net343,100.53
net206,100.5
_02598_,100.36
_01374_,100.25
_01624_,100.08
net93,100.02
_00083_,99.71
net102,99.46
_03996_,99.36
_01405_,99.3
net140,99.26
_03423_,99.13
_04548_,98.78
u_decodestage.instruction\[19\],98.66
_04017_,98.64
net302,98.37
net287,98.33
_04175_,98.23
_01331_,98.135
net220,98.09
_03262_,97.92
_02699_,97.84
_04972_,97.84
net21,97.78
net213,97.735
net273,97.68
net323,97.22
u_decodestage.u_regfile0.register\[2\]\[16\],96.98
net361,96.875
net316,96.42
_03438_,96.37
_02917_,96.36
net263,96.07
_04016_,95.97
net65,95.86
_03224_,95.85
net236,95.85
_01551_,95.8
u_decodestage.instruction\[2\],95.78
_04414_,95.68
net290,95.57
net130,95.37
_04000_,95.34
net362,95.11
_01720_,95.02
_01910_,94.98
_01378_,94.72
_04062_,94.675
_05343_,94.6
net139,94.52
_03172_,94.44
net23,94.44
net260,94.34
_05001_,94.26
_05393_,94.08
u_decodestage.u_regfile0.register\[19\]\[29\],93.675
_01553_,93.62
_03477_,93.62
net353,93.41
net352,93.28
_01330_,93.23
_02726_,93.04
_02194_,93.02
_04236_,92.64
u_decodestage.u_regfile0.register\[16\]\[1\],92.54
net311,92.5
_05727_,92.44
_02916_,92.42
net378,92.29
net357,92.025
_05347_,91.92
_01408_,91.76
net55,91.56
_03249_,91.49
_04980_,91.38
net356,91.3
_04237_,91.11
_03284_,91.09
_03378_,90.9
_04031_,90.65
net399,90.64
_02709_,90.46
_03376_,90.41
net215,90.4
net346,90.4
net51,90.36
net313,90.32
u_decodestage.u_regfile0.register\[15\]\[2\],90.31
_01606_,90.22
u_decodestage.u_regfile0.register\[23\]\[29\],90.16
u_decodestage.u_regfile0.register\[10\]\[2\],90.02
_03410_,89.74
u_decodestage.u_regfile0.register\[9\]\[2\],89.735
u_decodestage.u_regfile0.register\[12\]\[9\],89.655
net36,89.62
u_decodestage.pc_address\[0\],89.46
_03173_,89.215
_03253_,89.18
net31,88.8
_02365_,88.66
net377,88.58
_01398_,88.54
_03302_,88.53
net249,88.52
_03192_,88.43
net289,88.37
u_decodestage.u_regfile0.register\[16\]\[3\],88.24
u_decodestage.u_regfile0.register\[15\]\[12\],88.06
net256,87.82
_04963_,87.8
_04001_,87.78
net286,87.74
_02149_,87.64
_02222_,87.58
_01868_,87.575
_01323_,87.51
u_decodestage.alu_control\[3\],87.3
net52,87.3
_03375_,87.12
_04063_,87.12
_02475_,86.9
net345,86.79
_05360_,86.695
u_decodestage.u_regfile0.register\[16\]\[18\],86.695
_03475_,86.68
_04947_,86.56
u_decodestage.u_regfile0.register\[16\]\[2\],86.41
_05355_,86.32
_04173_,86.22
u_decodestage.u_regfile0.register\[4\]\[15\],85.94
net269,85.92
u_decodestage.u_regfile0.register\[16\]\[29\],85.825
_04026_,85.64
net60,85.62
_01283_,85.36
u_decodestage.u_regfile0.register\[22\]\[29\],85.35
net307,85.28
net295,85.16
net385,85.14
_01448_,85.08
net370,85.05
u_decodestage.u_regfile0.register\[16\]\[10\],84.995
_01452_,84.98
net347,84.82
_01697_,84.79
_04993_,84.74
_03536_,84.7
_02568_,84.69
net319,84.575
net382,84.53
_04139_,84.22
_04951_,84.14
_01454_,84.11
_03782_,84.1
u_decodestage.u_regfile0.register\[12\]\[2\],83.94
net25,83.94
u_decodestage.u_regfile0.register\[11\]\[0\],83.91
_01309_,83.84
_04955_,83.7
u_decodestage.u_regfile0.register\[14\]\[10\],83.68
_04508_,83.635
_04965_,83.62
u_decodestage.u_regfile0.register\[29\]\[29\],83.46
net274,83.44
u_decodestage.u_regfile0.register\[10\]\[10\],83.42
net259,83.4
u_decodestage.u_regfile0.register\[9\]\[18\],83.345
net109,83.3
_01324_,83.26
u_decodestage.alu_control\[2\],83.26
u_decodestage.u_regfile0.register\[12\]\[3\],83.2
u_decodestage.u_regfile0.register\[19\]\[23\],82.965
_04064_,82.7
net354,82.6
_04008_,82.46
net83,82.44
_04974_,82.42
_05007_,82.34
_04959_,82.28
net61,82.14
net324,82.1
_03364_,82.08
u_decodestage.u_regfile0.register\[13\]\[14\],81.785
_03356_,81.705
net386,81.65
u_decodestage.u_regfile0.register\[14\]\[18\],81.5
net84,81.48
net336,81.37
net46,81.36
net253,81.33
_04135_,81.3
_01208_,81.26
_03501_,81.12
_02216_,81.1
u_decodestage.u_regfile0.register\[12\]\[1\],81.08
net104,80.91
net359,80.61
net413,80.555
_02195_,80.52
net251,80.31
u_decodestage.u_regfile0.register\[13\]\[19\],80.305
net264,80.305
u_decodestage.instruction\[13\],80.26
net305,80.24
_04970_,80.22
_03094_,80.14
net401,80.12
_03049_,79.85
u_decodestage.u_regfile0.register\[14\]\[14\],79.68
u_decodestage.pc_address\[6\],79.54
_03731_,79.5
u_decodestage.u_regfile0.register\[13\]\[3\],79.4
u_decodestage.u_regfile0.register\[15\]\[0\],79.38
net364,79.34
net271,79.33
_03185_,79.21
_01313_,79.14
_04957_,79.08
u_decodestage.u_regfile0.register\[12\]\[18\],79.025
net376,78.97
net299,78.93
_04560_,78.92
u_decodestage.u_regfile0.register\[31\]\[16\],78.74
u_decodestage.u_regfile0.register\[17\]\[3\],78.72
u_decodestage.u_regfile0.register\[9\]\[14\],78.605
_01347_,78.5
_04067_,78.5
u_decodestage.u_regfile0.register\[14\]\[12\],78.48
net35,78.46
_01666_,78.4
net297,78.4
_05003_,78.21
net12,78.2
u_decodestage.u_regfile0.register\[24\]\[29\],78
_04982_,77.74
net369,77.55
u_decodestage.u_regfile0.register\[7\]\[0\],77.495
u_decodestage.u_regfile0.register\[14\]\[0\],77.46
net57,77.42
u_decodestage.u_regfile0.register\[13\]\[10\],77.375
_02417_,77.35
net309,77.22
_05763_,76.98
_03554_,76.9
_02535_,76.72
net209,76.65
u_decodestage.u_regfile0.register\[16\]\[12\],76.62
_04527_,76.53
_03414_,76.515
_02999_,76.48
net281,76.37
_02394_,76.3
u_decodestage.u_regfile0.register\[17\]\[12\],76.29
u_decodestage.u_regfile0.register\[6\]\[17\],76.18
u_decodestage.u_regfile0.register\[11\]\[29\],76.085
u_decodestage.u_regfile0.register\[4\]\[3\],76.055
net278,76.03
_01889_,75.97
u_decodestage.u_regfile0.register\[20\]\[26\],75.97
_04490_,75.765
u_decodestage.u_regfile0.register\[30\]\[29\],75.75
_01358_,75.65
u_decodestage.u_regfile0.register\[10\]\[14\],75.625
_03619_,75.52
u_decodestage.u_regfile0.register\[28\]\[28\],75.52
net317,75.5
net237,75.46
net285,75.44
net277,75.39
u_decodestage.u_regfile0.register\[10\]\[3\],75.18
u_decodestage.u_regfile0.register\[6\]\[3\],75.005
_03725_,74.955
_05376_,74.7
net341,74.69
_03776_,74.66
_01446_,74.55
net110,74.48
u_decodestage.u_regfile0.register\[10\]\[7\],74.36
net252,74.31
u_decodestage.pc_address\[9\],74.28
u_decodestage.u_regfile0.register\[14\]\[1\],74.16
u_decodestage.u_regfile0.register\[13\]\[12\],74.08
u_decodestage.u_regfile0.register\[15\]\[9\],73.98
_01403_,73.96
_04383_,73.96
_03541_,73.9
_03073_,73.63
u_decodestage.u_regfile0.register\[8\]\[3\],73.56
_04343_,73.52
_03514_,73.47
u_decodestage.u_regfile0.register\[22\]\[28\],73.46
net330,73.45
